"","Taxid","Name","OTU","Perc"
"5",68909,"Deinococcus geothermalis",3,18.75
"1",1355,"Enterococcus columbae",2,12.5
"3",43948,"Tolumonas auensis",2,12.5
"2",29581,"Janthinobacterium lividum",1,6.25
"4",52704,"Clostridium vincentii",1,6.25
"6",113288,"Aeromonas salmonicida subsp. achromogenes",1,6.25
"7",169669,"Pseudomonas extremorientalis",1,6.25
"8",663365,"Arcobacter suis CECT 7833",1,6.25
"9",873191,"Arcobacter defluvii",1,6.25
"10",888828,"Haemophilus parainfluenzae ATCC 33392",1,6.25
"11",1121865,"Enterococcus columbae DSM 7374 = ATCC 51263",1,6.25
"12",1458253,"Streptococcus oralis subsp. dentisani",1,6.25
