"","Taxid","Name","OTU","Perc"
"12",888057,"Aggregatibacter segnis ATCC 33393",20,25.3164556962025
"10",280333,"Bradyrhizobium pachyrhizi",15,18.9873417721519
"14",985008,"Aggregatibacter aphrophilus ATCC 33389",11,13.9240506329114
"1",470,"Acinetobacter baumannii",7,8.86075949367089
"6",70346,"Acinetobacter variabilis",7,8.86075949367089
"3",1313,"Streptococcus pneumoniae",2,2.53164556962025
"4",29448,"Bradyrhizobium elkanii",2,2.53164556962025
"5",40216,"Acinetobacter radioresistens",2,2.53164556962025
"8",190148,"Bradyrhizobium paxllaeri",2,2.53164556962025
"13",888728,"Haemophilus aegyptius ATCC 11116",2,2.53164556962025
"16",1245469,"Bradyrhizobium oligotrophicum S58",2,2.53164556962025
"2",726,"Haemophilus haemolyticus",1,1.26582278481013
"7",176598,"Pseudoxanthomonas taiwanensis",1,1.26582278481013
"9",216903,"Chryseobacterium molle",1,1.26582278481013
"11",365343,"Chryseobacterium caeni",1,1.26582278481013
"15",1101373,"Tepidimonas fonticaldi",1,1.26582278481013
"17",1458253,"Streptococcus oralis subsp. dentisani",1,1.26582278481013
"18",1518501,"Bradyrhizobium valentinum",1,1.26582278481013
