"","Taxid","Name","OTU","Perc"
"50",28037,"Streptococcus mitis",17325,43.8751994327247
"193",1458253,"Streptococcus oralis subsp. dentisani",7903,20.0141818826449
"121",257758,"Streptococcus pseudopneumoniae",5481,13.8805176387165
"23",1313,"Streptococcus pneumoniae",3738,9.46640666548484
"52",28136,"Prevotella oulorum",713,1.80565755818371
"158",888807,"Streptococcus sanguinis SK1 = NCTC 7863",585,1.48150024058551
"162",889204,"Streptococcus infantis ATCC 700779",511,1.29409679134905
"168",985008,"Aggregatibacter aphrophilus ATCC 33389",467,1.18266771342467
"155",888057,"Aggregatibacter segnis ATCC 33393",432,1.09403094689391
"45",1633,"Lactobacillus vaginalis",286,0.724289006508471
"55",29388,"Staphylococcus capitis",127,0.321624838554461
"161",889201,"Streptococcus cristatus ATCC 51100",123,0.311494922379517
"207",1888195,"Streptococcus himalayensis",107,0.270975257679743
"89",104955,"Lactobacillus frumenti",102,0.258312862461063
"15",1302,"Streptococcus gordonii",99,0.250715425329855
"91",113107,"Streptococcus australis",91,0.230455592979968
"145",655813,"Streptococcus oralis ATCC 35037",79,0.200065844455137
"151",760570,"Streptococcus parasanguinis ATCC 15912",75,0.189935928280193
"28",1334,"Streptococcus dysgalactiae",51,0.129156431230532
"54",29380,"Staphylococcus caprae",51,0.129156431230532
"25",1326,"Streptococcus acidominimus",50,0.126623952186796
"79",76860,"Streptococcus constellatus",49,0.12409147314306
"181",1234680,"Streptococcus rubneri",42,0.106364119836908
"18",1305,"Streptococcus sanguinis",37,0.0937017246182288
"8",726,"Haemophilus haemolyticus",34,0.0861042874870211
"67",47493,"Lactobacillus panis",32,0.0810393293995492
"164",889206,"Streptococcus vestibularis ATCC 49124",31,0.0785068503558133
"20",1308,"Streptococcus thermophilus",30,0.0759743713120774
"197",1547447,"Streptococcus oricebi",29,0.0734418922683415
"200",1579424,"Streptococcus azizii",29,0.0734418922683415
"56",29389,"Streptococcus alactolyticus",27,0.0683769341808697
"26",1328,"Streptococcus anginosus",26,0.0658444551371337
"171",1000570,"Streptococcus anginosus SK52 = DSM 20563",26,0.0658444551371337
"100",150055,"Streptococcus lutetiensis",24,0.0607794970496619
"57",29391,"Gemella morbillorum",23,0.058247018005926
"129",313439,"Streptococcus massiliensis",21,0.0531820599184542
"201",1581472,"Streptococcus panodentis",21,0.0531820599184542
"185",1282664,"Streptococcus oralis subsp. tigurinus AZ_3a",19,0.0481171018309823
"106",165758,"Streptococcus gallinaceus",18,0.0455846227872464
"31",1338,"Streptococcus intermedius",17,0.0430521437435105
"83",84135,"Gemella sanguinis",17,0.0430521437435105
"113",218538,"Dialister invisus",17,0.0430521437435105
"206",1825069,"Streptococcus marmotae",17,0.0430521437435105
"115",228604,"Prevotella salivae",16,0.0405196646997746
"141",557436,"Lactobacillus reuteri DSM 20016",16,0.0405196646997746
"17",1304,"Streptococcus salivarius",13,0.0329222275685669
"32",1340,"Streptococcus porcinus",13,0.0329222275685669
"157",888746,"Streptococcus peroris ATCC 700780",13,0.0329222275685669
"160",888833,"Streptococcus australis ATCC 700641",13,0.0329222275685669
"30",1337,"Streptococcus hyointestinalis",12,0.030389748524831
"169",997349,"Olsenella profusa DSM 13989",12,0.030389748524831
"34",1346,"Streptococcus iniae",11,0.027857269481095
"148",701526,"Streptococcus porcorum",11,0.027857269481095
"92",119224,"Streptococcus phocae",10,0.0253247904373591
"119",249189,"Enterococcus hermanniensis",10,0.0253247904373591
"173",1071886,"Streptococcus troglodytidis",10,0.0253247904373591
"186",1302863,"Streptococcus cristatus AS 1.3089",10,0.0253247904373591
"5",720,"Actinobacillus lignieresii",9,0.0227923113936232
"198",1562651,"Streptococcus pharyngis",9,0.0227923113936232
"7",723,"Actinobacillus ureae",8,0.0202598323498873
"16",1303,"Streptococcus oralis",8,0.0202598323498873
"19",1307,"Streptococcus suis",8,0.0202598323498873
"58",33028,"Staphylococcus saccharolyticus",7,0.0177273533061514
"123",269666,"Streptococcus marimammalium",7,0.0177273533061514
"147",684066,"Streptococcus lactarius",7,0.0177273533061514
"194",1469428,"Streptococcus cameli",7,0.0177273533061514
"6",722,"Actinobacillus seminis",6,0.0151948742624155
