"","Taxid","Name","OTU","Perc"
"154",889204,"Streptococcus infantis ATCC 700779",4308,32.9963235294118
"52",28037,"Streptococcus mitis",3865,29.6032475490196
"12",1292,"Staphylococcus warneri",1714,13.1280637254902
"175",1458253,"Streptococcus oralis subsp. dentisani",407,3.11734068627451
"150",888807,"Streptococcus sanguinis SK1 = NCTC 7863",275,2.1063112745098
"7",1282,"Staphylococcus epidermidis",254,1.94546568627451
"24",1313,"Streptococcus pneumoniae",211,1.61611519607843
"141",655813,"Streptococcus oralis ATCC 35037",187,1.43229166666667
"90",113107,"Streptococcus australis",171,1.30974264705882
"59",29388,"Staphylococcus capitis",133,1.0186887254902
"151",888828,"Haemophilus parainfluenzae ATCC 33392",129,0.988051470588235
"73",45972,"Staphylococcus pasteuri",107,0.819546568627451
"11",1290,"Staphylococcus hominis",97,0.742953431372549
"117",257758,"Streptococcus pseudopneumoniae",94,0.719975490196078
"176",1469425,"Streptococcus tangierensis",90,0.689338235294118
"120",280333,"Bradyrhizobium pachyrhizi",76,0.582107843137255
"63",33028,"Staphylococcus saccharolyticus",75,0.574448529411765
"58",29385,"Staphylococcus saprophyticus",41,0.314031862745098
"164",1234680,"Streptococcus rubneri",38,0.291053921568627
"96",150055,"Streptococcus lutetiensis",32,0.245098039215686
"144",760570,"Streptococcus parasanguinis ATCC 15912",30,0.229779411764706
"169",1302863,"Streptococcus cristatus AS 1.3089",30,0.229779411764706
"28",1334,"Streptococcus dysgalactiae",27,0.206801470588235
"34",1346,"Streptococcus iniae",26,0.199142156862745
"180",1547447,"Streptococcus oricebi",24,0.183823529411765
"16",1302,"Streptococcus gordonii",23,0.176164215686275
"71",43675,"Rothia mucilaginosa",23,0.176164215686275
"177",1469428,"Streptococcus cameli",21,0.160845588235294
"64",33053,"Neisseria perflava",19,0.145526960784314
"146",764299,"Streptococcus ictaluri 707-05",17,0.130208333333333
"20",1307,"Streptococcus suis",14,0.107230392156863
"49",1747,"Cutibacterium acnes",14,0.107230392156863
"17",1303,"Streptococcus oralis",13,0.0995710784313725
"19",1305,"Streptococcus sanguinis",13,0.0995710784313725
"84",76860,"Streptococcus constellatus",13,0.0995710784313725
"184",1581472,"Streptococcus panodentis",13,0.0995710784313725
"5",1280,"Staphylococcus aureus",12,0.0919117647058823
"18",1304,"Streptococcus salivarius",12,0.0919117647058823
"171",1349416,"Streptococcus saliviloxodontae",12,0.0919117647058823
"88",102886,"Streptococcus didelphis",11,0.0842524509803922
"135",490188,"Hydrocarboniphaga daqingensis",11,0.0842524509803922
"2",484,"Neisseria flavescens",10,0.076593137254902
"21",1308,"Streptococcus thermophilus",10,0.076593137254902
"115",249189,"Enterococcus hermanniensis",10,0.076593137254902
"155",889206,"Streptococcus vestibularis ATCC 49124",10,0.076593137254902
"60",29389,"Streptococcus alactolyticus",9,0.0689338235294118
"153",889201,"Streptococcus cristatus ATCC 51100",9,0.0689338235294118
"74",46124,"Granulicatella adiacens",8,0.0612745098039216
"9",1284,"Staphylococcus hyicus",7,0.0536151960784314
"32",1340,"Streptococcus porcinus",7,0.0536151960784314
"56",29380,"Staphylococcus caprae",7,0.0536151960784314
"62",29448,"Bradyrhizobium elkanii",7,0.0536151960784314
"98",165758,"Streptococcus gallinaceus",7,0.0536151960784314
"36",1349,"Streptococcus uberis",6,0.0459558823529412
"76",59310,"Streptococcus macedonicus",6,0.0459558823529412
"118",269666,"Streptococcus marimammalium",6,0.0459558823529412
"139",586733,"Staphylococcus devriesei",6,0.0459558823529412
"148",888745,"Streptococcus agalactiae ATCC 13813",6,0.0459558823529412
"51",28035,"Staphylococcus lugdunensis",5,0.038296568627451
"140",630921,"Bradyrhizobium embrapense",5,0.038296568627451
"142",684066,"Streptococcus lactarius",5,0.038296568627451
"152",888833,"Streptococcus australis ATCC 700641",5,0.038296568627451
"168",1282664,"Streptococcus oralis subsp. tigurinus AZ_3a",5,0.038296568627451
"181",1562651,"Streptococcus pharyngis",5,0.038296568627451
"190",1888195,"Streptococcus himalayensis",5,0.038296568627451
"13",1293,"Staphylococcus gallinarum",4,0.0306372549019608
"43",1405,"Bacillus mycoides",4,0.0306372549019608
"87",94138,"Staphylococcus cohnii subsp. urealyticus",4,0.0306372549019608
"91",119224,"Streptococcus phocae",4,0.0306372549019608
"99",170573,"Staphylococcus pettenkoferi",4,0.0306372549019608
"143",701526,"Streptococcus porcorum",4,0.0306372549019608
"158",1000570,"Streptococcus anginosus SK52 = DSM 20563",4,0.0306372549019608
"170",1349415,"Streptococcus loxodontisalivarius",4,0.0306372549019608
"179",1518501,"Bradyrhizobium valentinum",4,0.0306372549019608
"8",1283,"Staphylococcus haemolyticus",3,0.0229779411764706
"15",1296,"Staphylococcus sciuri",3,0.0229779411764706
"26",1328,"Streptococcus anginosus",3,0.0229779411764706
"35",1348,"Streptococcus parauberis",3,0.0229779411764706
"55",29379,"Staphylococcus auricularis",3,0.0229779411764706
"80",70258,"Staphylococcus piscifermentans",3,0.0229779411764706
"82",72759,"Staphylococcus aureus subsp. anaerobius",3,0.0229779411764706
"83",74703,"Staphylococcus capitis subsp. urealyticus",3,0.0229779411764706
"100",176598,"Pseudoxanthomonas taiwanensis",3,0.0229779411764706
"101",184250,"Streptococcus constellatus subsp. pharyngis",3,0.0229779411764706
"160",1077965,"Staphylococcus petrasii subsp. jettensis",3,0.0229779411764706
"167",1276936,"Staphylococcus petrasii",3,0.0229779411764706
"188",1825069,"Streptococcus marmotae",3,0.0229779411764706
"6",1281,"Staphylococcus carnosus",2,0.0153186274509804
"14",1294,"Staphylococcus muscae",2,0.0153186274509804
"23",1310,"Streptococcus sobrinus",2,0.0153186274509804
"25",1314,"Streptococcus pyogenes",2,0.0153186274509804
"31",1338,"Streptococcus intermedius",2,0.0153186274509804
"33",1345,"Streptococcus ferus",2,0.0153186274509804
"38",1353,"Enterococcus gallinarum",2,0.0153186274509804
"53",28091,"Neisseria weaveri",2,0.0153186274509804
"67",39778,"Veillonella dispar",2,0.0153186274509804
"81",71451,"Enterococcus malodoratus",2,0.0153186274509804
"92",119602,"Streptococcus dysgalactiae subsp. equisimilis",2,0.0153186274509804
"102",190148,"Bradyrhizobium paxllaeri",2,0.0153186274509804
"104",200615,"Rhodoplanes serenus",2,0.0153186274509804
"114",246432,"Staphylococcus equorum",2,0.0153186274509804
"125",315405,"Streptococcus gallolyticus",2,0.0153186274509804
"127",342451,"Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292",2,0.0153186274509804
"128",365346,"Paenisporosarcina quisquiliarum",2,0.0153186274509804
"145",764290,"Streptococcus downei MFe28",2,0.0153186274509804
"149",888746,"Streptococcus peroris ATCC 700780",2,0.0153186274509804
"162",1140002,"Enterococcus avium ATCC 14025",2,0.0153186274509804
"163",1189613,"Staphylococcus massiliensis CCUG 55927",2,0.0153186274509804
"173",1451356,"Streptococcus moroccensis",2,0.0153186274509804
"183",1579424,"Streptococcus azizii",2,0.0153186274509804
"187",1814128,"Streptococcus halotolerans",2,0.0153186274509804
"189",1855823,"Macrococcus canis",2,0.0153186274509804
"191",1917441,"Streptococcus ruminantium",2,0.0153186274509804
"192",1955013,"Staphylococcus edaphicus",2,0.0153186274509804
"1",483,"Neisseria cinerea",1,0.0076593137254902
"3",496,"Neisseria macacae",1,0.0076593137254902
"4",720,"Actinobacillus lignieresii",1,0.0076593137254902
"10",1285,"Staphylococcus intermedius",1,0.0076593137254902
"22",1309,"Streptococcus mutans",1,0.0076593137254902
"27",1329,"Streptococcus canis",1,0.0076593137254902
"29",1335,"Streptococcus equinus",1,0.0076593137254902
"30",1337,"Streptococcus hyointestinalis",1,0.0076593137254902
"37",1352,"Enterococcus faecium",1,0.0076593137254902
"39",1354,"Enterococcus hirae",1,0.0076593137254902
"40",1377,"Aerococcus viridans",1,0.0076593137254902
"41",1399,"Bacillus firmus",1,0.0076593137254902
"42",1402,"Bacillus licheniformis",1,0.0076593137254902
"44",1408,"Bacillus pumilus",1,0.0076593137254902
"45",1423,"Bacillus subtilis",1,0.0076593137254902
"46",1452,"Bacillus atrophaeus",1,0.0076593137254902
"47",1467,"Bacillus lentus",1,0.0076593137254902
"48",1642,"Listeria innocua",1,0.0076593137254902
"50",1764,"Mycobacterium avium",1,0.0076593137254902
"54",28181,"Magnetovibrio blakemorei",1,0.0076593137254902
"57",29382,"Staphylococcus cohnii",1,0.0076593137254902
